Review Message,Sentiment
,
"A seventeen-year-old aristocrat (Kate Winslet), expecting to be married to a rich claimant (Billy Zane) by her mother, falls in love with a kind but poor artist (Leonardo DiCaprio) aboard the luxurious, ill-fated R.M.S. Titanic.

The first thing that is really striking about this film is that it came from James Cameron, who is much better known for science fiction films like ""Terminator"", ""Avatar"" and ""Aliens"". He is not the first person that comes to mind when you think of historical fiction romances. And yet, he nailed it. ""Titanic"", despite its length of three hours, was a huge success and may have sold more VHS copies than any other movie.

But beyond the romance, this is actually a rather decent movie. I cannot say why, it is something hard to put one's finger on. Most likely, it has something to do with Billy Zane, who is more or less the greatest thing about the film.",Neutral
"Okay, everyone knows what happens in ""Titanic"", so I'll discuss a few other points. While the movie was in the theaters, one of my friends went to see it 13 times, just so that he could find goofs; the one that he picked up on was when someone opens a door, turns his head, and you see that it's the wrong color. When I took a sailing class in summer, 2005, the teacher explained why specifically the Titanic sank: it was traveling way too fast for something that size (so they couldn't turn in time), and the metal on the ship's sides was rather shoddy; that is to say, they endangered everyone's lives so as to save money for themselves (well, that's one of many times when those at the top have put profits ahead of safety). And I have a question: considering how many people died on the Titanic, was it appropriate to use this event to further Leonardo DiCaprio's career? As for that story that I wrote, it portrayed Kevin Kline and Tom Selleck (from ""In & Out"") believing themselves to resemble Leo and Kate; Al Pacino (from ""Donnie Brasco) realizing that he was going to sleep with the fishes; Jim Carrey (from ""Liar Liar"") admitting: ""I can't lie: I wasn't watching for icebergs while I was steering!""; Kim Basinger (from ""LA Confidential"") wondering whether or not she would look like Veronica Lake at the bottom of the ocean; and Jack Nicholson (from ""As Good as It Gets"") still inside his cabin and saying ""Don't knock on my door! Even if the ship is sinking, don't knock on my door!"".

Oh, I forgot to say my opinion of the movie. When everyone at school asked me what I thought, I always said ""Well, I..."" That's what I'm going to say here. I consider ""Titanic"" right down the middle. I think that ""In & Out"" was the best movie of 1997. End of story.",positive
,
"No sense going into great detail about this film, which just about everyone who watches movies saw when it came out. I still don't recall a film getting as much ""hype"" as this one did. I doubt if the Second Coming would get the kind of publicity this movie received. It was disgusting - the PR, the story and the favorable box office response.

Oh, once the ocean-liner hits the icebergs and the disaster starts, it's terrific but that's not until the last 45 minutes of this 194-minute movie. Too bad we had to wade through all the baloney before this climactic scene.

The baloney, in a nutshell, was (1) a stupid teen romance between two arrogant, unlikeable people; (2) most the film being a lie, defaming many of the people who were heroes in that disaster, instead choosing to picture them as selfish villains.

The latter is all in the name of 'political correctness,' some filmmakers like James Cameron, are filled with, something akin to horse manure.

To make it brief: in real life, the men in the First Class did everything they could to get the women and children safely off the boat. Just look it up! Relatives of those people were justifiably extremely upset over Cameron's totally-fabricated story, and I can't blame them.

Anyway, even with all the untruths, if they had cut down on the Leonardo DiCaprio-Kate Winslet rebel-type attitude and romance, it would have been a far better film, but then again you wouldn't have the billions of dollars in revenue from the 12-15-year-old girls who flocked by the millions to see this farce. The rest of us would have preferred to see the true story of the famous disaster.",Negative
,
"A big boat hits a huge lump of ice and slowly sinks. Meanwhile, a chirpy American lad, Jack (Leonardo DiCaprio), gets it on with Rose (Kate Winslet), a posh bit of British totty, much to the annoyance of the girl's fiancé, Cal (Billy Zane, putting in a wonderfully loathsome performance).

James Cameron's Titanic is what I call 'factasy'. In other words, it's a factual story combined with fantastical elements to make the finished article more entertaining to the masses. A more recent example of this melding of truth and fiction is The Aeronauts, but where that film played it too fast and loose with the facts and ultimately came crashing down to earth in tatters, Cameron gets the balance of real and imagined just right, making his film both a fascinating insight into one of the most famous disasters of the 20th century, and a thoroughly charming love story.

A master storyteller, Cameron successfully steers his way around any potentially disastrous obstacles that threaten to bring the film to a standstill. Even though there's a good hour and a half before any sight of an iceberg, Titanic is thoroughly engrossing from start to finish, a testament to its director's skill at weaving a good yarn, and to the talent of his impressive cast (which includes Kathy Bates as Molly Brown and David Warner as Spicer Lovejoy). Kate and Leo make for one of cinema's most iconic pair of lovers, and exude a likability and charm that carries the first half of the film. The latter part is mostly about the special effects, something that Cameron excels at, always pushing the boundaries of technology. Even after 23 years, the sinking of the mighty ship is a sight to behold, and still sends chills up the spine.

It's only the film's closing moments that prevent me from giving the film full marks: why oh why did Old Rose (Gloria Stuart) chuck her priceless necklace into the sea? Give it to your granddaughter, donate it to an orphanage, put it in a museum, let Bill Paxton have it, but please don't throw it overboard! And as if that crazy act wasn't reprehensible enough, when the old dear carks it, her spirit returns to the Titanic to be reunited with Jack -- excuse me Rose, but what about your dead husband and father to your child?

9/10.",Neutral
"I half-expected an overwrought concoction of incredible high drama, but James Cameron's fictionalized film of a real incident from 1912 is nearly free of derivative devices or sappy puppy love issues. Before the infamous ocean liner perishes in the icy Atlantic Ocean, two passengers--third-class gadabout Leonardo DiCaprio and conflicted first-class passenger Kate Winslet--fall in love in what is a very captivating romantic interlude. Cannily-made picture is, of course, full of marvelous effects, but its this key romance that most people will end up remembering (and with good reason, as the performers are terrific). Cameron's pacing is both giddy and tight, and he draws vivid characterizations from the supporting players as well. High entertainment. ***1/2 from ****",negative
"This is a May 2020 update, as I have watched this maybe 5 or 6 times over the years, most recently last night. Yes, it is long, and they probably spend too much time showing the carnage during the actual sinking, but after I start watching it and become immersed yet again the time figuratively flies.

For a movie that was made almost 25 years ago it holds up extremely well in picture and sound. Dicaprio and Winslet are of course marvelous in their roles but for me Billy Zane is the best here, the way he plays the demanding rich American taking his British teenage fiancee back home, only to be interrupted by the carefree Jack who presents a completely different outlook on life.

Say what you want about James Cameron, the person, but he did a masterful job of weaving together several different stories, including the elderly modern day Rose telling her story after Jack's charcoal drawing is recovered from the wreckage 2 1/2 miles under the surface of the Atlantic. Even just the modern day images of the real Titanic wreckage add immeasurably to the impact of the whole movie.

This will remain a classic for many decades to come, well deserving of its various awards.",negative
"One of the monuments of the cinema which won 11 Oscars in Hollywood in 1998, a huge success (well deserved) all over the world. The revelation of two actors until then virtually unknown. This is James Cameron' masterpiece. He chose to relate the tragedy of the Titanic that took place on the 12th of April 1912, through the intermediary of a love story lived between a wealthy and pretty young woman (Kate Winslet) and a modest painter (Léonardo Dicaprio). Cameron succeeds in making it fascinating in the first part of the movie. The love between ""Jack"" and ""Rose"" is so strong that can hardly believe the Titanic will bump into an iceberg and will sink. It's also together with a model bravery that the two lovers will try to escape the ship's sinking (although historically accurate).

Léonardo DiCaprio and Kate Winslet will stay among the famous mythical couples in the cinema's history. It's obvious that they are between the hands of a conscientious and carefully organized film-maker. James Cameron doesn't leave anything high and dry. He adopted a sustained rhythm not spoiled by the enormous means that he's got. It's useless to say that he masters them perfectly thanks to an important budget. Not only has this budget enabled a meticulous reconstruction of the ship but it has also enabled a reconstruction from the traditional life in 1912 with its contrasts, its oppositions. Moreover, the movie enjoys an outstanding performance from all the actors, even the minor ones and several sequences and dialogs don't lack humor.

But ""Titanic"" is also a limited place where takes place the confrontation of two different worlds: the proletarians and the middle-class persons. This confrontation is particularly well described during the ship's sinking: the rich are by the lifeboats whereas the poor are still inside the ship and they're forbidden to go outside.

The second part of the movie is remarkably well filmed and follows a logical advance based on the increase of fear and distress. Cameron emphasizes particularly on the madness that spread to the passengers but also on the officers. Little by little, these last ones are becoming mad (one of them will kill unwittingly one of the passengers who was trying to get into a lifeboat). Besides, a few touches make the movie surrealist (the four musicians keep on playing while the ship's sinking)

The other obvious qualities: a gorgeous music, some smart costumes. At the end, a movie that creates a deep emotion and where everything contributes to a perfect success.",positive
"Leonardo DiCaprio and Kate Winslet are young lovers on the doomed ""Titanic"" in this 1997 film directed, written, and edited by James Cameron. The film also stars Billy Zane, Gloria Stuart, Kathy Bates, Francis Fisher, and Victor Garber.

Rather than go into the story, I'll just say that this film is a true masterpiece, meticulously researched, designed, costumed, and acted, and gives one the feeling of the desperation, fear, sorrow, and finality that the people on the ship must have felt. The entire time I watched it, I kept thinking of the people on the planes and in the World Trade Center on 9/11.

There have been several films about the Titanic but none so lovingly recreated and so powerful emotionally. Kate Winslet is exquisite as Rose, the upper class young woman engaged to a brute (Zane), who falls in love with third class passenger Jack Dawson (DiCaprio). DiCaprio is terrific - exuberant, passionate, and adventurous.

If you don't know a lot about the Titanic, this movie will pique your interest. When you read more about it, you'll be impressed by Cameron's commitment to bring this piece of history to life.",positive
"James Francis Cameron's Titanic is a well done film, but I think it gets more credit than it deserves. True, the film won eleven Academy awards (including 3 for Cameron and 2 for composer James Horner), but I think it shouldn't had been ranked so high- like with Ben-Hur status.

If you don't know the story of Titanic now, your probably one of the ones who didn't survive because the story is world-renoun. So are it's actors (Leonardo DiCaprio is not at his best, Kate Winslet is at least hot, and Billy Zane works as a villain) who work into Jim Cameron's script about romance on the high seas. Luckily, the film doesn't go as slow as you may think, but still, that's no excuse to have the Titanic sinking in the movie longer than it did in real life.

But seriously, this film does have many great qualitites. The story is well lay out, and the special effects are dazzling (it actually looks like the Titanic is sinking) which also won a Oscar. One of the great points in this film is the score by James Horner which is his best and one of the best ever, but that is over-shadowed by fancy fireworks and bad acting. Good direction though. B",positive
"Well, 15 years after first seeing this at a second run-dollar theatre that I worked at when I was living in Jacksonville, FL, I finally decided to watch Titanic again in 3-D at the place my movie cinema-working friend is now employed at. Once again, we experienced the romance between Leonardo DiCaprio and Kate Winslet as the latter wants to escape the more controlling Billy Zane. Despite the dialogue between them verging on the melodramatic, director James Cameron also thought up some truly witty lines that especially suited Kathy Bates as the Unsinkable Molly Brown. And, yes, it's still very touching seeing Jack and Rose willing to stay together during all that chaos as the title ship keeps sinking. And how cool is it seeing Golden Age veteran Gloria Stuart as the elderly Rose recounting how it was during Titanic's only voyage. And not to mention James Horner's iconic score. And while I thought Celine Dion's Oscar-winning song ""My Heart Will Go On"" was overplayed on Top 40 radio stations then, I actually enjoyed hearing it again during the end credits (though we only stayed through the cast list). And of course, Cameron keeps things exciting enough during the climatic sinking though sometimes I thought he piled it a bit much when he showed a young boy crying just standing there as Jack and Rose were running (it felt a little more contrived than usual though I realized such a scene could have really taken place). In summation, James Cameron's Titanic is still a very entertaining picture worthy of its Oscar status enhanced a bit by the 3-D experience though it wasn't really necessary IMHO.",positive
"An excellent version of the 1953 original as well as the 1956 ""A Night to Remember.""

We really have character development in this fine picture. Leonardo DiCaprio and Kate Winslet shine as our doomed hero and heroine.

In a comeback performance, Gloria Stuart does very well in the part of Winslet as an old woman.

What is so enjoyable about this film is the sociological depiction of the upper and lower classes. We can see from almost the beginning of the disaster, the lower class will be doomed to tragedy.

Frances Fisher gives excellent support as Kate's upper class mean mother. This is a mother so mean that Kate went through life never revealing to her that she had survived.

Di Caprio, it has been argued, looked too young for the part. He really seemed to mature as the film went on. His scene before his demise was well done and memorable.",positive
,
,
,
"It has kind of become the popular thing to kick Titanic, the film and its achievements. It's like the love it garnered on release and the colossal waves it made in the history of cinema, never happened, or as some want you to believe, doesn't matter. I can tell you now that many of my macho fuelled friends will privately, under the influence of liquid refreshments, admit to having affection for the film, but socially in a circle environment? Not a bit of it! I have no such problems admitting my love for the film, I love it as much now as I approach 50, as I did when I sat there in awe at the cinema in 1997.

You jump - I jump.

Titanic is far from flawless, where even now with the advancements in technology the effects over 15 years later look a touch creaky. While it's true as well that away from Rose and Jack the characterisations are thin on the ground. But this is Rose and Jack's story, fully fleshed out for an hour and half and then framed by the terrible tragedy that unfolds for the next hour and half. The tie-in to the present day is superbly constructed by James Cameron - the search for the diamond - the real life filming of the Titanic wreckage - and the flashback telling of the story by a delightful Gloria Stuart as old Rose, and the sinking of the ship and its aftermath is stunning and heart breaking in equal measure.

Never let go.

So may scenes and dialogue exchanges stay in the memory for ever. The band playing on, the captain awaiting his fate, the mother ushering her children to sleep before the sea comes to take them, the old boy drinking his brandy as the water rushes in, or just Jack and Rose, polar opposites in society's class structure, making love, making art or just professing that neither will ever let go. It's what makes Titanic the wonderful piece of cinema it is, where beauty and tragedy merge to create something forever memorable. A film that deserved all the accolades and cash till ringing that it once did have. 9/10",negative
"TITANIC is actually two films. The first film is a very unlikely love story so syrupy it can cause diabetes. Then it suddenly mutates into a James Bond film where - wait for this - Bond is played by Kate Winslet. Maybe this isn't entirely accurate because James is total fantasy , but never becomes as unbelievable as this. Oh and at least in a Bond film the Brits are the good guys unlike here where they are invaribly cruel , stupid and/or cowardly. Also at no point in a Bond film does a script change the laws of physics where it's possible for someone to escape from the undercurrants of a ship weighing thousands of tons. Oh and the special effects are better in Bond films , TITANIC's are not entirely convincing.

But the most fantastic thing about TITANIC isn't the fact it made so much money at the box office ( This is explained by 14 year old girls lining up at the cinema to watch Leonardo for the 25th time ) but the fact this film won 11 ( Yes Eleven.You read that right ) Oscars, equalling the total held by BEN HUR. What the hell were the Academy thinking ? I know they didn't give any awards for the quality of the acting or even nominated the screenplay for an Oscar ( They got that right . Boy did they get that right ) but for it to win 11 Oscars including Best Picture ( Didn't any of the voters watch LA CONFIDENTIAL ? ) really upset me because films like GONE WITH THE WIND , etc didn't get that many",positive
"I've looked back through the other comments posted here and can't believe I saw the same film some of these disgruntled ""critics"" are talking about. What's so wrong about telling a love story against the background of a real-life historical event?

Since when is there a restriction on poetic license? Get real. 'Titanic' is an extremely impressive movie from every standpoint in recreating an actual ship disaster that took more than a thousand lives. Told in a flashback technique, it focuses mainly on Jack and Rose and their unlikely meeting when she attempts suicide--but also draws in a number of other characters that are equally well integrated into the plot. The class distinction that existed then (and now) is shown with clarity--making complaints from previous ""commentators"" meaningless when they say that the film doesn't even deal with this factor. The snobbery was there and is most fully exposed in the depiction of Rose's class-conscious mother.

TITANIC will go down as one of the greatest recreations of an actual event ever attempted on screen--masterful in all departments. The performances, from leads to bit players, are uniformly excellent--but no one has given enough credit to Billy Zane. He's the perfect villain and plays his juicy role with incredible skill and zest. All those protesting that this film is a disaster are simply mouthing hollow words, all sound and fury signifying nothing. If it's cool to knock this movie, so be it. But their appraisal of it is far from the truth and they are quite clearly in denial.

The Jack/Rose love affair is the weakest development in the script but at least it does point up the class distinction that played a large part in this human tragedy.",positive
"""there are only lifeboats for half the people... yea the better half"".

The segregation, oppression, and unenlightened separation of the privileged few from the unkempt, unwashed masses is the ""dramatic"" thread that seems to be the ""soul"" of this bloated, overwritten, orally deficient melodrama. It is completely counterpointed by the very last scene. An antithesis of the socially conscious concern of the film makers.

It is morally reprehensible, irresponsible, incomprehensible, and downright selfish. One wonders how many underprivileged children with empty bellies and deplorable living conditions could have been saved by that mega-million dollar necklace. All for a cheap sentimental tug.

Some interesting special effects, attractive people, and unintentional humor are not enough to redeem this unforgivable, utter failure of a film that can only be subjugated to the lower decks of American Cinema.",negative
"A typical James Cameron movie, i.e. all style, no substance, and excruciatingly long.

Plot is basic - love story set against the Titanic tragedy, that's it. Just basically drifts for 3.25 hours around that central plot. The direction is all about the amazing special effects, another Cameron trademark.

On the plus side, Leonardo DiCaprio and Kate Winslet are excellent in the lead roles, and their interaction is spot-on. This movie pretty much launched their careers (well, in DiCaprio's case, shifted it up several notches).",neutral
"I saw the movie for the first time when it arrived on video, needless to say that I had very high expectations for this movie because I heard a lot about it. I watched the movie and I remembered my first reaction when I finished watching it, my reaction was: ""This is it?"" Don't get me wrong, it's not a bad movie, not at all. But I was disappointed about it all and it just didn't met my expectations.

Everybody knows the true story about the ship the ""Titanic"" and there are many movies/series made about it already. New about this movie is the love story. It's always dangerous to put a love story in a movie because if the love story doesn't work the movie doesn't work. The love story does work for most parts in this movie, except for some scene's in which I just don't buy it.

Although the movie is very long it doesn't really ever get boring, which is of course a good thing. The best part of the movie is the sinking and you can see that James Cameron is really one of the best Action directors in the business.

The acting isn't great but not bad either. The special effects look good with the exception of a few needless scene's. The movie is also full of visual mistakes (for instance you can clearly see the camera in a scene, which is a HUGE mistake that I noticed on my first viewing) and the characters in my opinion aren't really interesting enough.

Although the movie got more credit then it really deserved I can still recommend this movie to everybody. Good but not perfect...

7/10

http://bobafett1138.blogspot.com/",positive
